Provincia,Departamento,Cant_EE,Cant_Biblioteca_Popular,Población
Chaco,Sargento Cabral,40,3,18696
La Rioja,General Belgrano,40,2,7615
Buenos Aires,Dolores,40,1,31405
Mendoza,Tupungato,40,1,41168
Catamarca,Ancasti,40,0,3282
Chaco,Independencia,40,0,21948
Buenos Aires,Bragado,39,4,46227
San Juan,Valle Fértil,39,2,8425
Tucumán,Tafí del Valle,39,2,22382
Entre Ríos,Islas del Ibicuy,39,1,13984
San Luis,Chacabuco,38,6,26522
Río Negro,San Antonio,38,4,35473
Buenos Aires,Brandsen,38,3,32350
Buenos Aires,Navarro,38,2,19888
San Luis,Belgrano,38,2,5575
Santa Fe,Garay,38,2,24853
Santiago del Estero,Guasayán,38,0,9251
Buenos Aires,Carlos Casares,37,3,22905
Córdoba,Tulumba,37,1,14092
Misiones,Concepción,37,1,10303
San Luis,Libertador General San Martín,37,1,4691
Buenos Aires,Ramallo,36,4,39648
Buenos Aires,San Antonio de Areco,36,2,26695
Buenos Aires,Arrecifes,36,1,32077
Catamarca,Ambato,36,1,5087
Chaco,San Lorenzo,36,1,16045
Corrientes,Sauce,36,1,10382
Buenos Aires,Ensenada,35,5,63978
Buenos Aires,Adolfo Alsina,35,2,17344
Córdoba,Río Seco,35,1,15275
Tucumán,Juan Bautista Alberdi,35,1,34745
La Pampa,Realicó,34,8,17356
Buenos Aires,Carlos Tejedor,34,2,14007
Buenos Aires,Mar Chiquita,34,1,32973
Tucumán,La Cocha,34,1,21196
Entre Ríos,San Salvador,33,2,20786
Neuquén,Pehuenches,33,2,29721
Río Negro,25 de Mayo,33,2,16555
La Rioja,Famatina,33,1,6984
Corrientes,San Miguel,33,0,12700
Córdoba,Totoral,33,0,22473
La Pampa,Conhelo,32,5,15094
La Pampa,Utracán,32,5,17686
Buenos Aires,Puan,32,3,16391
La Rioja,General Juan Facundo Quiroga,32,0,4013
Salta,Iruya,32,0,6116
Santiago del Estero,Silípica,32,0,9766
San Luis,Coronel Pringles,31,4,16044
Buenos Aires,Saavedra,31,3,21407
Salta,Cerrillos,31,2,55713
San Juan,Calingasta,31,2,10667
Buenos Aires,Coronel Pringles,31,1,24110
