Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Misiones,Libertador General San Martín,55,2869,66,6927,28,5525
Misiones,Eldorado,59,4724,64,12100,32,9635
Misiones,San Javier,31,1242,39,3294,8,2470
Misiones,Apóstoles,31,2821,35,6783,19,5453
Misiones,Montecarlo,34,2010,35,5313,18,4258
Misiones,Candelaria,24,1969,30,4979,14,3937
Misiones,Concepción,14,569,20,1384,4,1152
Neuquén,Confluencia,142,19766,157,52500,86,42174
Neuquén,Zapala,26,2031,31,5480,9,4533
Neuquén,Lácar,19,1654,24,4460,9,3818
Neuquén,Huiliches,17,1002,19,2530,7,1973
Neuquén,Chos Malal,9,734,18,2162,4,1701
Neuquén,Minas,10,468,17,1061,6,831
Neuquén,Pehuenches,10,1538,17,4093,9,3242
Neuquén,Ñorquín,8,269,13,646,5,522
Neuquén,Aluminé,11,497,13,1208,6,1021
Neuquén,Catán Lil,11,138,12,368,1,258
Neuquén,Loncopué,6,395,11,927,3,729
Neuquén,Picunches,8,424,10,1097,3,793
Neuquén,Añelo,7,1024,9,2480,6,1881
Neuquén,Los Lagos,7,655,9,1861,6,1466
Neuquén,Collón Curá,4,217,7,535,2,461
Neuquén,Picún Leufú,4,222,7,631,2,445
Río Negro,General Roca,148,16354,154,43425,84,35515
Río Negro,Bariloche,68,6400,66,17315,45,13885
Río Negro,Adolfo Alsina,38,2598,30,7124,19,6046
Río Negro,Avellaneda,21,1938,26,4940,13,4126
Río Negro,San Antonio,15,1492,16,4166,8,3416
Río Negro,25 de Mayo,9,793,14,1877,9,1607
Río Negro,Pilcaniyeu,9,336,13,1107,5,821
Río Negro,Pichi Mahuida,7,798,11,1943,4,1439
Río Negro,Ñorquinco,4,63,9,141,3,127
Río Negro,Conesa,6,345,8,840,2,630
Río Negro,El Cuy,8,309,8,901,8,675
Río Negro,Valcheta,5,183,8,457,4,367
Río Negro,9 de Julio,5,132,7,408,6,321
Salta,Capital,180,27161,152,72054,121,59245
Salta,General José de San Martín,105,10488,107,25874,44,20452
Salta,Rivadavia,95,2651,103,6427,16,4929
Salta,Orán,70,8945,66,22746,27,18047
Salta,Anta,53,3627,55,9429,22,7601
Salta,Santa Victoria,35,524,44,1436,7,1218
Salta,Rosario de Lerma,35,2668,33,6604,10,5208
Salta,Rosario de la Frontera,29,1630,32,4146,10,3302
Salta,General Güemes,29,2699,27,6917,11,5526
Salta,Metán,25,2382,26,5695,13,4488
Salta,Iruya,18,386,24,930,6,785
Salta,San Carlos,20,386,21,1102,5,812
Salta,Cerrillos,22,2984,18,8047,9,6079
Salta,Chicoana,18,1137,18,3014,6,2568
Salta,Cachi,14,459,15,1236,6,883
Salta,Molinos,14,302,14,837,6,706
Salta,Guachipas,8,185,10,403,2,332
Salta,Cafayate,10,804,10,2378,6,1887
Salta,La Caldera,12,547,9,1430,3,1076
Salta,La Poma,7,99,8,260,2,234
Salta,Los Andes,9,495,8,1130,3,923
Salta,La Viña,5,424,7,1108,3,909
Salta,La Candelaria,7,343,7,904,3,755
San Juan,Capital,52,4264,46,10619,50,9248
San Juan,Rawson,36,6557,34,16891,20,14120
San Juan,Jáchal,31,1168,29,2781,26,2398
San Juan,Rivadavia,34,4713,29,11692,17,9610
San Juan,Pocito,26,4016,23,10435,14,8555
San Juan,Caucete,23,2312,23,5636,17,5029
San Juan,Chimbas,20,5416,21,13494,19,11469
San Juan,Santa Lucía,17,3160,18,7756,8,6279
San Juan,25 de Mayo,22,1285,18,2998,17,2605
San Juan,Sarmiento,22,1597,17,3853,15,3304
San Juan,Valle Fértil,19,414,15,963,16,801
San Juan,Calingasta,16,606,12,1476,9,1116
San Juan,San Martín,12,836,10,2165,5,1718
San Juan,Iglesia,11,429,9,1084,8,908
San Juan,Angaco,11,519,9,1380,7,1164
San Juan,Albardón,13,1568,9,4253,8,3543
San Juan,9 de Julio,5,729,4,1704,2,1390
San Juan,Ullum,2,357,2,864,1,704
San Juan,Zonda,2,362,1,881,2,729
San Luis,Juan Martín de Pueyrredón,85,10712,97,28921,92,27055
San Luis,General Pedernera,56,6523,67,17217,55,15346
San Luis,Ayacucho,17,1087,41,2770,20,2471
San Luis,Junín,21,1567,32,4272,24,3956
San Luis,Belgrano,12,260,28,651,15,545
San Luis,Libertador General San Martín,12,187,27,445,21,444
San Luis,Chacabuco,14,1108,25,2742,19,2612
San Luis,Coronel Pringles,13,636,24,1710,14,1641
San Luis,Gobernador Dupuy,13,706,14,1708,17,1593
Santa Cruz,Güer Aike,35,6145,47,16392,36,13731
Santa Cruz,Deseado,37,6113,45,16156,31,13468
Santa Cruz,Lago Argentino,7,1331,9,3312,8,2596
Santa Cruz,Corpen Aike,5,821,6,1949,6,1497
Santa Cruz,Lago Buenos Aires,4,752,5,1616,4,1174
Santa Cruz,Río Chico,2,353,4,874,3,653
Santa Cruz,Magallanes,3,625,3,1739,3,1324
Santa Fe,Rosario,347,53739,347,136909,263,111326
Santa Fe,La Capital,196,24091,176,60178,131,51318
Santa Fe,General Obligado,126,9407,149,22397,68,19095
Santa Fe,Castellanos,127,8342,127,20593,54,17437
Santa Fe,San Cristóbal,107,3275,113,8274,46,6990
Santa Fe,Las Colonias,98,4661,106,11728,43,10201
Santa Fe,General López,95,8181,104,20764,60,17525
Santa Fe,Vera,84,2772,96,6546,29,5536
Santa Fe,9 de Julio,55,1464,72,3636,16,3285
Santa Fe,San Jerónimo,52,3767,62,9086,27,7615
Santa Fe,San Lorenzo,50,9067,58,22850,44,17689
Santa Fe,San Martín,46,2844,53,7148,22,5857
Santa Fe,Iriondo,37,3138,50,7768,26,6189
Santa Fe,San Justo,46,2052,46,5112,17,4294
Santa Fe,Constitución,38,3679,45,9370,32,8501
Santa Fe,Caseros,32,3185,37,8294,30,7108
Santa Fe,San Javier,33,1622,36,4011,14,3004
Santa Fe,Belgrano,18,1968,26,4903,15,4293
Santa Fe,Garay,19,1219,22,2920,8,2238
Santiago del Estero,Capital,134,15140,105,37231,83,30377
Santiago del Estero,Banda,118,9064,100,21600,62,17110
Santiago del Estero,Copo,34,2124,74,4966,19,4367
Santiago del Estero,Figueroa,52,1183,68,2803,26,2471
Santiago del Estero,Pellegrini,50,1418,68,3634,35,2937
Santiago del Estero,Moreno,44,2441,67,5635,21,5178
Santiago del Estero,Río Hondo,64,3438,66,8569,42,6856
Santiago del Estero,Alberdi,36,1184,57,2854,18,2369
Santiago del Estero,General Taboada,42,2553,53,6042,9,5394
Santiago del Estero,Avellaneda,29,1481,50,3527,26,3231
Santiago del Estero,Juan Felipe Ibarra,30,1139,46,3004,14,2585
Santiago del Estero,Choya,38,2071,46,5276,30,4520
Santiago del Estero,Ojo de Agua,28,758,43,1714,10,1633
Santiago del Estero,Loreto,50,1155,43,3051,28,2561
Santiago del Estero,Quebrachos,26,741,42,1585,11,1324
Santiago del Estero,Robles,46,2959,39,7173,24,5982
Santiago del Estero,Salavina,29,666,39,1746,19,1654
Santiago del Estero,Jiménez,27,980,38,2376,31,2055
