id_establecimiento,id_departamento,jardin_infantes,primario,secundario
1137,02106,,1,
1138,02106,,1,
1139,02106,1,1,1
1140,02106,,,1
1141,02106,1,1,1
1142,02106,1,1,1
1143,02106,1,1,1
1144,02106,,,1
1145,02115,,1,
1146,02106,1,,
1147,02112,1,1,1
1148,02112,1,,
1149,02112,1,,
1150,02112,,1,
1151,02113,1,1,1
1152,02101,,,1
1155,02101,,,
1158,02103,,,
1159,02104,,,1
1161,02112,1,1,1
1162,02112,,1,
1163,02115,,1,
1164,02112,,1,
1165,02112,1,,
1166,02111,1,1,
1167,02106,1,1,1
1168,02105,,,1
1169,02109,1,1,1
1170,02109,1,1,1
1171,02105,,1,
1172,02109,,1,
1173,02105,,,1
1174,02105,1,1,1
1175,02109,1,1,1
1176,02109,1,1,
1178,02109,1,,
1179,02109,1,,
1180,02109,1,,
1181,02109,1,,
1182,02109,,1,
1183,02105,1,,
1184,02109,1,1,
1185,02112,1,,
1186,02112,,1,
1187,02113,1,,
1188,02114,1,1,
1190,02114,,,1
1191,02114,1,1,1
1192,02107,,1,
1193,02107,,1,
1194,02109,,1,
1195,02109,1,1,1
1196,02109,1,,
1197,02109,1,,
1198,02107,1,,
1199,02107,,1,
1201,02104,1,1,1
1202,02104,,,
1203,02114,,,
1204,02114,1,,
1205,02114,,1,
1206,02114,,,1
1207,02114,,,1
1208,02111,1,1,1
1209,02110,1,1,1
1210,02110,,,1
1212,02110,1,1,1
1213,02107,,1,
1214,02107,1,1,1
1215,02107,,1,
1216,02107,,1,
1217,02105,,1,1
1218,02105,1,1,1
1219,02105,,1,
1220,02106,,,1
1223,02105,,1,
1224,02106,,,1
1225,02106,,1,
1226,02107,,1,
1227,02106,,1,
1228,02106,,1,
1230,02113,,,
1231,02113,,,
1232,02111,,1,
1233,02111,,1,
1234,02111,,1,
1235,02111,,1,
1236,02111,,1,
1237,02111,1,,
1238,02115,1,,
1239,02115,,,
1240,02115,1,1,1
1241,02106,1,,
1242,02115,1,,
1243,02115,1,,
1244,02115,1,,
1245,02106,1,1,1
1246,02106,,1,
1247,02106,,1,
1248,02101,,,
1249,02114,,,1
1251,02113,,,1
1252,02113,1,1,1
1255,02106,1,1,1
1256,02109,,1,
1257,02107,,,
1258,02108,,1,
1259,02108,,1,
1260,02109,1,1,1
1261,02115,,1,
1262,02115,,1,
1263,02115,1,,
1264,02111,,1,
1265,02105,,1,
1266,02115,1,1,
1267,02106,1,1,1
1268,02106,1,,
1269,02106,1,1,
1270,02106,1,1,1
1271,02111,1,,
1272,02111,1,,
1273,02111,1,,
1274,02106,,,1
1275,02103,,,
1278,02112,,,
1280,02102,,,1
1283,02103,,,1
1284,02105,,,
1285,02105,,,1
1288,02113,1,1,1
1289,02101,,,
1290,02109,,1,
1291,02105,,1,
1292,02110,,1,
1293,02106,,1,
1294,02108,1,,
1295,02109,1,,
1296,02109,1,,
1297,02109,1,,
1298,02109,1,,
1299,02106,,1,
1301,02112,,,1
1303,02105,,,1
1304,02106,,1,
1306,02106,,,
1308,02104,,,1
1309,02101,,,1
1311,02102,,,
1318,02103,,,1
1319,02114,,1,
1320,02105,1,,
1321,02114,1,,
1322,02114,1,,
1323,02114,,,1
1325,02111,1,1,1
1326,02111,1,1,1
1327,02104,,,1
1328,02107,1,1,1
1330,02106,1,,
1331,02105,1,,
1332,02113,1,1,1
1333,02113,1,1,1
1334,02104,1,1,1
1335,02109,1,1,1
1336,02109,1,1,1
1337,02109,,1,
1338,02108,1,,
1339,02103,1,1,1
1340,02113,1,1,
1341,02113,,1,1
1344,02101,,,1
1346,02113,,1,
1347,02104,,1,
1348,02113,1,1,1
1350,02103,,,1
1351,02112,1,1,1
1352,02109,,1,
1353,02113,,1,
1356,02102,,,1
1357,02102,1,1,
1358,02110,,1,
1359,02110,,1,
1360,02113,1,,
1363,02113,,,1
1364,02113,1,1,1
1365,02113,1,1,1
1366,02112,,1,
1367,02105,,,1
1368,02103,1,1,1
1369,02107,1,1,1
1370,02113,1,1,1
1371,02111,,1,
1372,02104,1,,
1373,02104,1,,
1374,02104,1,,
1375,02104,1,,
1376,02113,,1,
1377,02101,,,1
1378,02104,,,1
1379,02105,,1,
1380,02112,,,1
1381,02112,1,1,1
1383,02101,,,1
1384,02104,,1,
1385,02108,,1,
1386,02108,1,1,1
1388,02108,,1,
1391,02111,,1,
1392,02106,,1,
1393,02112,,1,
1394,02111,1,,
1395,02111,1,,
1396,02111,1,,
1397,02111,1,,
1398,02103,1,,
1399,02105,1,,
1400,02103,1,,
1401,02114,,1,
1403,02111,,1,
1404,02111,,1,
1406,02107,1,,
1407,02105,1,,
1408,02107,1,,
1409,02110,1,,
1410,02112,,,1
1411,02103,1,,
1412,02103,1,,
1413,02105,,1,
1415,02105,,,
1416,02106,,1,
1418,02113,1,1,1
1420,02103,,1,
1422,02103,1,1,1
1423,02115,1,,
1424,02115,1,,
1425,02115,1,,
1426,02111,,1,
1427,02104,,1,
1428,02104,,1,
1429,02110,1,,
1430,02109,1,,
1431,02110,1,,
1432,02103,,1,
1435,02101,,,
1437,02113,,1,
1438,02104,,1,
1440,02113,1,,
1441,02113,,,
1442,02101,,1,
1443,02107,,1,
1444,02111,1,1,1
1445,02111,1,,
1446,02112,1,,
1447,02111,1,,
1448,02110,,1,
1449,02110,,1,
1450,02111,,1,
1451,02111,1,,
1452,02111,1,,
1453,02111,1,,
1454,02111,1,,
1455,02111,1,,
1456,02110,1,,
1457,02110,1,,
1458,02110,1,,
1459,02104,1,,
1460,02104,1,,
1461,02104,1,,
1462,02112,1,,
1463,02112,1,,
1464,02112,1,,
1507,02103,,1,
1508,02113,1,,
1509,02113,1,,
1510,02113,1,,
1511,02103,,1,
1512,02101,,,
1514,02114,,,
1518,02113,1,1,1
1519,02107,1,1,1
1520,02101,1,1,
1521,02110,,,1
1522,02110,,1,
1524,02104,1,,
1528,02113,1,,
1529,02112,1,1,1
1530,02114,,,
1532,02111,,1,
1533,02109,1,,
1534,02110,1,,
1535,02110,1,,
1536,02110,1,,
1537,02107,,1,
1538,02109,,1,
1540,02102,,,
1541,02104,1,1,1
